Axle Number,Wheel Number,Timestamp,Wheel Angle,
0,0,0.017779,2.02734,
0,0,0.038386,2.02734,
0,0,0.059676,2.02734,
0,0,0.078277,2.02734,
0,0,0.098458,2.02734,
0,0,0.119748,2.02734,
0,0,0.13916,2.02734,
0,0,0.159384,2.02734,
0,0,0.179564,2.02734,
0,0,0.199873,2.02734,
0,0,0.220224,2.02734,
0,0,0.240575,2.02734,
0,0,0.260798,2.02734,
0,0,0.280979,2.02734,
0,0,0.301159,2.02734,
0,0,0.321511,2.02734,
0,0,0.341734,2.02734,
0,0,0.362426,2.02734,
0,0,0.382223,2.02734,
0,0,0.402446,2.02734,
0,0,0.422627,2.02734,
0,0,0.442807,2.02734,
0,0,0.46303,2.02734,
0,0,0.483211,2.02734,
0,0,0.503434,2.02734,
0,0,0.5237,2.02734,
0,0,0.544051,2.02734,
0,0,0.564403,2.02734,
0,0,0.584583,2.02734,
0,0,0.604764,2.02734,
0,0,0.625669,2.02734,
0,0,0.645295,2.02734,
0,0,0.665519,2.02734,
0,0,0.685699,2.02734,
0,0,0.705922,2.02734,
0,0,0.726487,2.02734,
0,0,0.746369,2.02734,
0,0,0.766549,2.02734,
0,0,0.78673,2.02734,
0,0,0.806953,2.02734,
0,0,0.827688,2.02734,
0,0,0.847741,2.02734,
0,0,0.867921,2.02734,
0,0,0.888614,2.02734,
0,0,0.90905,2.02734,
0,0,0.929432,2.02734,
0,0,0.949356,2.02734,
0,0,0.969622,2.02734,
0,0,0.989803,2.02734,
0,0,1.01003,2.02734,
0,0,1.03033,2.02734,
0,0,1.0506,2.02734,
0,0,1.07078,2.02734,
0,0,1.0922,2.02734,
0,0,1.11246,2.02734,
0,0,1.13265,2.02734,
0,0,1.15283,2.02734,
0,0,1.17343,2.02734,
0,0,1.19336,2.02734,
0,0,1.21345,2.02734,
0,0,1.23406,2.02734,
0,0,1.2542,2.02734,
0,0,1.27455,2.02734,
0,0,1.29511,2.02734,
0,0,1.31563,2.02734,
0,0,1.33513,2.02734,
0,0,1.35587,2.02734,
0,0,1.37609,2.02734,
0,0,1.39657,2.02734,
0,0,1.41671,2.02734,
0,0,1.43655,2.02734,
0,0,1.45669,2.02734,
0,0,1.47721,2.02734,
0,0,1.49722,2.02734,
0,0,1.51821,2.02734,
0,0,1.53839,2.02734,
0,0,1.55887,2.02734,
0,0,1.57905,2.02734,
0,0,1.5991,2.02734,
0,0,1.61962,2.02734,
0,0,1.63942,2.02734,
0,0,1.66054,2.02734,
0,0,1.67987,2.02734,
0,0,1.70005,2.02734,
0,0,1.72027,2.02734,
0,0,1.74054,2.02734,
0,0,1.76076,2.02734,
0,0,1.78124,2.02734,
0,0,1.80121,2.02734,
0,0,1.82185,2.02734,
0,0,1.84208,2.02734,
0,0,1.86234,2.02734,
0,0,1.88257,2.02734,
0,0,1.90275,2.02734,
0,0,1.92297,2.02734,
0,0,1.94324,2.02734,
0,0,1.96337,2.02734,
0,0,1.98359,2.02734,
0,0,2.00381,2.02734,
0,0,2.02416,2.02734,
0,0,2.04434,2.02734,
0,0,2.06473,2.02734,
0,0,2.08491,2.02734,
0,0,2.1051,2.02734,
0,0,2.12528,2.02734,
0,0,2.1461,2.02734,
0,0,2.16568,2.02734,
0,0,2.1859,2.02734,
0,0,2.20608,2.02734,
0,0,2.22626,2.02734,
0,0,2.24644,2.02734,
0,0,2.26667,2.02734,
0,0,2.28719,2.02734,
0,0,2.30741,2.02734,
0,0,2.32759,2.02734,
0,0,2.34777,2.02734,
0,0,2.368,2.02734,
0,0,2.38818,2.02734,
0,0,2.40836,2.02734,
0,0,2.42884,2.02734,
0,0,2.44927,2.02734,
0,0,2.46975,2.02734,
0,0,2.48942,2.02734,
0,0,2.50969,2.02734,
0,0,2.52991,2.02734,
0,0,2.55065,2.02734,
0,0,2.57066,2.02734,
0,0,2.59084,2.02734,
0,0,2.61106,2.02734,
0,0,2.63128,2.02734,
0,0,2.65155,2.02734,
0,0,2.67224,2.02734,
0,0,2.69247,2.02734,
0,0,2.71256,2.02734,
0,0,2.73274,2.02734,
0,0,2.7533,2.02734,
0,0,2.77314,2.02734,
0,0,2.79332,2.02734,
0,0,2.81398,2.02734,
0,0,2.83377,2.02734,
0,0,2.86091,2.02734,
0,0,2.87554,2.02734,
